,epochs,depth_lstm,depth_dense,units_lstm,activation,l2_reg,batch_norm,dropout,look_back,target_steps_ahead,subsampling_factor,loss,acc,roc-auc
exp2,10,2,1,128,tanh,5e-4,False,0.5,100,0,2,0.7569901327681415,0.8843354921372159,0.8125615289179948
exp3,10,2,1,128,tanh,5e-4,True,0.5,100,0,2,0.5511321283287444,0.8831343029599303,0.8681796873220966
exp4,10,1,1,128,tanh,5e-4,True,0.5,100,0,2,0.4806495473214781,0.8755768210528423,0.8420368998402061
exp5,10,1,1,128,tanh,5e-2,True,0.5,100,0,2,0.4045875596931932,0.8891602686659793,0.9173983675103944
exp6,10,1,1,128,tanh,5e-3,False,0.4,100,0,2,0.5361244350412966,0.8795107156084524,0.8240625626710325
exp7,10,1,1,128,tanh,5e-3,False,0.5,100,0,2,0.3567020985473684,0.8838149768270588,0.8976638253181156
exp8,10,1,1,128,tanh,5e-3,False,0.6,100,0,2,0.5212760281738594,0.8566180518713526,0.8151502852341748
exp9,10,1,1,128,tanh,5e-3,True,0.4,100,0,2,0.7764444780083061,0.8711724607361288,0.8207285673902546
exp10,10,1,1,128,tanh,5e-3,True,0.5,100,0,2,0.5140007279592929,0.8944354911362249,0.843783167453858
exp11,10,1,1,128,tanh,5e-3,True,0.6,100,0,2,0.47683880688192193,0.9004714667520846,0.886230073065492
exp12,10,1,1,128,relu,5e-3,False,0.4,100,0,2,2.42714516141672,0.8494109168076396,0.4996386603220221
exp13,10,1,1,128,relu,5e-3,False,0.5,100,0,2,11.41598574085003,0.284281438624238,0.48958482821168187
exp14,10,1,1,128,relu,5e-3,False,0.6,100,0,2,10.705862708778142,0.15902743716279116,0.6019503892769227
exp15,10,1,1,128,relu,5e-3,True,0.4,100,0,2,1.2584274375271554,0.19917718541355942,0.5434225458671472
exp16,10,1,1,128,relu,5e-3,True,0.5,100,0,2,1.2924042602128256,0.16153992452528002,0.6128174999901846
exp17,10,1,1,128,relu,5e-3,True,0.6,100,0,2,1.2884022981173529,0.16274111370256553,0.5037223397447224
exp18,10,1,1,128,tanh,5e-2,False,0.4,100,0,2,0.3601116279273314,0.8765477823044814,0.8626799888497583
exp19,10,1,1,128,tanh,5e-2,False,0.5,100,0,2,0.28707666600090903,0.8986897028057778,0.8995387357039374
exp20,10,1,1,128,tanh,5e-2,False,0.6,100,0,2,0.4916552857344886,0.8117536360997387,0.7982147842781593
exp21,10,1,1,128,tanh,5e-2,True,0.4,100,0,2,0.37804609602621636,0.909200108107026,0.9132117599714177
exp22,10,1,1,128,tanh,5e-2,True,0.5,100,0,2,0.416352333144036,0.9151159648051571,0.906904238269671
exp23,10,1,1,128,tanh,5e-2,True,0.6,100,0,2,0.5500538767723901,0.8823635399045054,0.8219516377898964
