,n_estimators,max_depth,weighted,fold_set,brier_loss,loss,acc,roc-auc,recall
exp1,100,10,True,0,0.10643,0.54490,0.88406,0.62511,0.00980
exp2,100,10,False,0,0.10643,0.54490,0.88406,0.62511,0.00980
exp3,100,8,True,0,0.11063,0.51185,0.87615,0.56565,0.00987
exp4,100,8,False,0,0.11063,0.51185,0.87615,0.56565,0.00987
exp5,100,6,True,0,0.11385,0.45248,0.86485,0.57466,0.03347
exp6,100,6,False,0,0.11385,0.45248,0.86485,0.57466,0.03347
exp7,100,5,True,0,0.11141,0.42771,0.86537,0.58724,0.07413
exp8,100,5,False,0,0.11141,0.42771,0.86537,0.58724,0.07413
exp9,100,4,True,0,0.11666,0.42244,0.85545,0.57683,0.10420
exp10,100,4,False,0,0.11666,0.42244,0.85545,0.57683,0.10420
exp11,80,10,True,0,0.10709,0.48925,0.88083,0.62818,0.01280
exp12,80,10,False,0,0.10709,0.48925,0.88083,0.62818,0.01280
exp13,80,8,True,0,0.11117,0.47103,0.87281,0.57533,0.01333
exp14,80,8,False,0,0.11117,0.47103,0.87281,0.57533,0.01333
exp15,80,6,True,0,0.11355,0.42296,0.86191,0.59189,0.03687
exp16,80,6,False,0,0.11355,0.42296,0.86191,0.59189,0.03687
exp17,80,5,True,0,0.11159,0.40341,0.86156,0.60673,0.09053
exp18,80,5,False,0,0.11159,0.40341,0.86156,0.60673,0.09053
exp19,80,4,True,0,0.11445,0.39661,0.85499,0.60501,0.12353
exp20,80,4,False,0,0.11445,0.39661,0.85499,0.60501,0.12353
exp21,60,10,True,0,0.10957,0.44550,0.87426,0.61693,0.01400
exp22,60,10,False,0,0.10957,0.44550,0.87426,0.61693,0.01400
exp23,60,8,True,0,0.11247,0.42501,0.86559,0.59463,0.02253
exp24,60,8,False,0,0.11247,0.42501,0.86559,0.59463,0.02253
exp25,60,6,True,0,0.11300,0.38999,0.85661,0.62098,0.05507
exp26,60,6,False,0,0.11300,0.38999,0.85661,0.62098,0.05507
exp27,60,5,True,0,0.10996,0.37603,0.86024,0.63488,0.11213
exp28,60,5,False,0,0.10996,0.37603,0.86024,0.63488,0.11213
exp29,60,4,True,0,0.11425,0.38170,0.85262,0.62693,0.14300
exp30,60,4,False,0,0.11425,0.38170,0.85262,0.62693,0.14300
exp31,40,10,True,0,0.11165,0.39951,0.86474,0.60971,0.02180
exp32,40,10,False,0,0.11165,0.39951,0.86474,0.60971,0.02180
exp33,40,8,True,0,0.11466,0.38963,0.85499,0.61576,0.03860
exp34,40,8,False,0,0.11466,0.38963,0.85499,0.61576,0.03860
exp35,40,6,True,0,0.11346,0.37153,0.84969,0.64921,0.08413
exp36,40,6,False,0,0.11346,0.37153,0.84969,0.64921,0.08413
exp37,40,5,True,0,0.10889,0.35748,0.85565,0.68101,0.16513
exp38,40,5,False,0,0.10889,0.35748,0.85565,0.68101,0.16513
exp39,40,4,True,0,0.11270,0.36819,0.85189,0.66882,0.17667
exp40,40,4,False,0,0.11270,0.36819,0.85189,0.66882,0.17667
exp41,20,10,True,0,0.11347,0.37363,0.84979,0.62980,0.04180
exp42,20,10,False,0,0.11347,0.37363,0.84979,0.62980,0.04180
exp43,20,8,True,0,0.11961,0.38813,0.83833,0.64339,0.08520
