,epochs,units,activation,l2_reg,batch_norm,dropout,fold_set,loss,acc,roc-auc,recall
exp1,20,512,relu,5e-4,True,0.4,0,1.00255,0.87352,0.49283,0.08007
exp2,20,512,relu,5e-4,True,0.5,0,1.00313,0.87873,0.44140,0.06033
exp3,20,512,tanh,5e-4,True,0.4,0,0.47338,0.90319,0.78800,0.23860
exp4,20,512,tanh,5e-4,True,0.5,0,0.52133,0.86609,0.75220,0.44553
exp5,20,512,relu,5e-3,True,0.4,0,0.63781,0.88983,0.60877,0.13587
exp6,20,512,relu,5e-3,True,0.5,0,0.57720,0.89437,0.64072,0.23447
exp7,20,512,tanh,5e-3,True,0.4,0,0.35679,0.90001,0.74631,0.14800
exp8,20,512,tanh,5e-3,True,0.5,0,0.41552,0.90480,0.71325,0.16287
exp9,20,512,relu,5e-2,True,0.4,0,0.31929,0.88376,0.77479,0.45147
exp10,20,512,relu,5e-2,True,0.5,0,0.28923,0.89971,0.75433,0.34613
exp11,20,512,tanh,5e-2,True,0.4,0,0.42373,0.85785,0.62915,0.24513
exp12,20,512,tanh,5e-2,True,0.5,0,0.43344,0.83831,0.61738,0.29113
exp13,20,512,relu,5e-4,True,0.4,1,0.76635,0.90188,0.45849,0.00708
exp14,20,512,relu,5e-4,True,0.5,1,0.81520,0.91055,0.39389,0.00523
exp15,20,512,tanh,5e-4,True,0.4,1,0.47859,0.89609,0.61535,0.03008
exp16,20,512,tanh,5e-4,True,0.5,1,0.45858,0.86631,0.57603,0.09077
exp17,20,512,relu,5e-3,True,0.4,1,0.47604,0.91099,0.55928,0.02685
exp18,20,512,relu,5e-3,True,0.5,1,0.50280,0.91160,0.55341,0.01662
exp19,20,512,tanh,5e-3,True,0.4,1,0.44297,0.91158,0.58803,0.00015
exp20,20,512,tanh,5e-3,True,0.5,1,0.45939,0.91161,0.63492,0.00969
exp21,20,512,relu,5e-2,True,0.4,1,0.29175,0.91346,0.62239,0.01662
exp22,20,512,relu,5e-2,True,0.5,1,0.27894,0.91345,0.68179,0.02438
exp23,20,512,tanh,5e-2,True,0.4,1,0.38823,0.91221,0.45698,0.00069
exp24,20,512,tanh,5e-2,True,0.5,1,0.34893,0.91285,0.47194,0.00000
exp25,20,512,relu,5e-4,True,0.4,2,0.57364,0.89771,0.63349,0.01707
exp26,20,512,relu,5e-4,True,0.5,2,0.48657,0.89816,0.60173,0.04243
exp27,20,512,tanh,5e-4,True,0.4,2,0.61333,0.89917,0.68815,0.02236
exp28,20,512,tanh,5e-4,True,0.5,2,0.57159,0.90119,0.65200,0.01871
exp29,20,512,relu,5e-3,True,0.4,2,0.35530,0.89952,0.73102,0.15614
exp30,20,512,relu,5e-3,True,0.5,2,0.34069,0.89484,0.71545,0.23564
exp31,20,512,tanh,5e-3,True,0.4,2,0.40209,0.90529,0.83272,0.01979
exp32,20,512,tanh,5e-3,True,0.5,2,0.29670,0.90406,0.83356,0.15479
exp33,20,512,relu,5e-2,True,0.4,2,0.26704,0.90833,0.80440,0.27536
exp34,20,512,relu,5e-2,True,0.5,2,0.28288,0.90361,0.80101,0.30793
exp35,20,512,tanh,5e-2,True,0.4,2,0.47993,0.77048,0.57285,0.21364
exp36,20,512,tanh,5e-2,True,0.5,2,0.49338,0.75767,0.63868,0.33100
exp37,20,512,relu,5e-2,True,0.4,0,0.31224,0.88718,0.72790,0.32487
exp38,20,512,relu,5e-2,True,0.5,0,0.28393,0.90300,0.75340,0.32080
exp39,20,512,tanh,5e-2,True,0.4,0,0.40327,0.86106,0.59301,0.12640
exp40,20,512,tanh,5e-2,True,0.5,0,0.42264,0.85023,0.60700,0.21693
exp41,20,512,relu,5e-2,True,0.4,1,0.27951,0.91384,0.66569,0.02869
exp42,20,512,relu,5e-2,True,0.5,1,0.28066,0.91335,0.65884,0.01885
exp43,20,512,tanh,5e-2,True,0.4,1,0.40222,0.91279,0.44452,0.00000
exp44,20,512,tanh,5e-2,True,0.5,1,0.33454,0.91328,0.43408,0.00000
exp45,20,512,relu,5e-2,True,0.4,2,0.29279,0.89670,0.82974,0.38736
exp46,20,512,relu,5e-2,True,0.5,2,0.26014,0.91161,0.81906,0.25086
exp47,20,512,tanh,5e-2,True,0.4,2,0.53281,0.73162,0.57721,0.25593
exp48,20,512,tanh,5e-2,True,0.5,2,0.57769,0.68974,0.55606,0.29821
